# tau / ps;  MSD / pm^2;  Derivative
1.776000; 6250.156841; 795.496507
1.788000; 6259.702799; 1055.841797
1.800000; 6272.372900; 718.185931
1.812000; 6280.991131; 1182.356966
1.824000; 6295.179415; 1045.706192
1.836000; 6307.727889; 1218.527576
1.848000; 6322.350220; 1029.302385
1.860000; 6334.701849; 1685.291063
1.872000; 6354.925341; 1079.254372
1.884000; 6367.876394; 1300.420197
1.896000; 6383.481436; 1248.455076
1.908000; 6398.462897; 1404.427608
1.920000; 6415.316029; 698.808556
1.932000; 6423.701731; 1160.180546
1.944000; 6437.623898; 1257.578187
1.956000; 6452.714836; 1385.027353
1.968000; 6469.335164; 776.084392
1.980000; 6478.648177; 1277.392411
1.992000; 6493.976886; 967.703984
2.004000; 6505.589334; 1060.505621
2.016000; 6518.315401; 1263.027522
2.028000; 6533.471731; 1670.767717
2.040000; 6553.520944; 1220.576170
2.052000; 6568.167858; 1089.385308
2.064000; 6581.240482; 1498.319633
2.076000; 6599.220317; 929.197965
2.088000; 6610.370693; 1713.814163
2.100000; 6630.936463; 1433.465603
2.112000; 6648.138050; 1351.067098
2.124000; 6664.350855; 1119.173815
2.136000; 6677.780941; 1317.176942
2.148000; 6693.587064; 1150.299637
2.160000; 6707.390660; 1159.306361
2.172000; 6721.302336; 997.903741
2.184000; 6733.277181; 1003.648038
2.196000; 6745.320958; 787.972465
2.208000; 6754.776627; 170.268790
2.220000; 6756.819853; 1359.554530
2.232000; 6773.134507; 395.466346
2.244000; 6777.880103; 556.129493
2.256000; 6784.553657; 607.987306
2.268000; 6791.849505; 326.511347
2.280000; 6795.767641; 273.330902
2.292000; 6799.047612; 863.201378
2.304000; 6809.406028; 581.520129
2.316000; 6816.384270; 453.740201
2.328000; 6821.829152; 759.291587
2.340000; 6830.940651; 748.323654
2.352000; 6839.920535; 1008.513680
2.364000; 6852.022699; 553.975775
2.376000; 6858.670409; 931.330756
2.388000; 6869.846378; 815.826406
2.400000; 6879.636295; 807.409951
2.412000; 6889.325214; 966.696832
2.424000; 6900.925576; 1089.776417
2.436000; 6914.002893; 571.335268
2.448000; 6920.858916; 915.990604
2.460000; 6931.850803; 1020.462620
2.472000; 6944.096355; 841.013723
2.484000; 6954.188520; 926.127989
2.496000; 6965.302055; 819.046361
2.508000; 6975.130612; 1533.019753
2.520000; 6993.526849; 963.559610
2.532000; 7005.089564; 1095.265593
2.544000; 7018.232751; 1103.242985
2.556000; 7031.471667; 1065.891007
2.568000; 7044.262359; 1353.871544
2.580000; 7060.508818; 1126.476472
2.592000; 7074.026535; 1566.103758
2.604000; 7092.819780; 1100.726902
2.616000; 7106.028503; 1212.362459
2.628000; 7120.576853; 1083.034619
2.640000; 7133.573268; 1365.576732
2.652000; 7149.960189; 1197.797955
2.664000; 7164.333764; 1322.538200
2.676000; 7180.204223; 1289.654352
2.688000; 7195.680075; 1454.686429
2.700000; 7213.136312; 1714.831769
2.712000; 7233.714293; 1363.086897
2.724000; 7250.071336; 1287.913048
2.736000; 7265.526293; 1354.936964
2.748000; 7281.785536; 1890.639877
2.760000; 7304.473215; 1489.174895
2.772000; 7322.343314; 1116.190086
2.784000; 7335.737595; 1898.848324
2.796000; 7358.523775; 720.148466
2.808000; 7367.165556; 851.970094
2.820000; 7377.389197; 1389.353373
2.832000; 7394.061438; 1208.261449
2.844000; 7408.560575; 1223.220133
2.856000; 7423.239217; 524.460370
2.868000; 7429.532741; 1238.504972
2.880000; 7444.394801; 634.627665
2.892000; 7452.010333; 405.112901
2.904000; 7456.871688; 918.693382
2.916000; 7467.896008; 1041.053132
2.928000; 7480.388646; 453.226093
2.940000; 7485.827359; 870.843732
2.952000; 7496.277484; 1344.721497
2.964000; 7512.414142; 468.460573
2.976000; 7518.035669; 1429.995219
2.988000; 7535.195611; 589.587173
3.000000; 7542.270657; 1334.580260
3.012000; 7558.285620; 1492.813862
3.024000; 7576.199387; 1278.377667
3.036000; 7591.539919; 1631.479103
3.048000; 7611.117668; 1156.674530
3.060000; 7624.997762; 1578.627599
3.072000; 7643.941294; 1336.547921
3.084000; 7659.979869; 1602.980036
3.096000; 7679.215629; 1442.975177
3.108000; 7696.531331; 1373.807571
3.120000; 7713.017022; 1478.548922
3.132000; 7730.759609; 1248.218147
3.144000; 7745.738227; 1320.179279
3.156000; 7761.580378; 1439.042438
3.168000; 7778.848887; 1188.252002
3.180000; 7793.107911; 1101.163552
3.192000; 7806.321874; 1457.319463
3.204000; 7823.809708; 1657.489609
3.216000; 7843.699583; 1337.072186
3.228000; 7859.744449; 1718.799099
3.240000; 7880.370038; 1733.073198
3.252000; 7901.166917; 1215.351307
3.264000; 7915.751132; 1160.679350
3.276000; 7929.679285; 1212.455212
3.288000; 7944.228747; 1538.183050
3.300000; 7962.686944; 1432.066847
3.312000; 7979.871746; 1102.990492
3.324000; 7993.107632; 1455.220724
3.336000; 8010.570281; 1484.084993
3.348000; 8028.379300; 993.590138
3.360000; 8040.302382; 1629.406773
3.372000; 8059.855263; 744.808380
3.384000; 8068.792964; 1603.319387
3.396000; 8088.032797; 1344.083930
3.408000; 8104.161804; 1212.529613
3.420000; 8118.712159; 1522.390357
3.432000; 8136.980843; 1074.218869
3.444000; 8149.871470; 1272.338479
3.456000; 8165.139532; 1281.189181
3.468000; 8180.513802; 876.023785
