# Tau / ps;  Vector autocorrelation;  1-exp fit;  2-exp fit;  3-exp fit
1.433500000;  0.8966668988; 0.9374083774; 0.8917472670; 0.8985582988
1.434000000;  0.8966546177; 0.9373956707; 0.8917354929; 0.8985461460
1.434500000;  0.8966423786; 0.9373829641; 0.8917237229; 0.8985339944
1.435000000;  0.8966301844; 0.9373702578; 0.8917119572; 0.8985218440
1.435500000;  0.8966180379; 0.9373575516; 0.8917001957; 0.8985096947
1.436000000;  0.8966059419; 0.9373448455; 0.8916884384; 0.8984975465
1.436500000;  0.8965938989; 0.9373321397; 0.8916766854; 0.8984853995
1.437000000;  0.8965819112; 0.9373194340; 0.8916649366; 0.8984732537
1.437500000;  0.8965699813; 0.9373067285; 0.8916531919; 0.8984611090
1.438000000;  0.8965581112; 0.9372940231; 0.8916414515; 0.8984489654
1.438500000;  0.8965463029; 0.9372813180; 0.8916297153; 0.8984368230
1.439000000;  0.8965345581; 0.9372686130; 0.8916179833; 0.8984246817
1.439500000;  0.8965228784; 0.9372559081; 0.8916062555; 0.8984125416
1.440000000;  0.8965112651; 0.9372432035; 0.8915945318; 0.8984004026
1.440500000;  0.8964997193; 0.9372304990; 0.8915828124; 0.8983882647
1.441000000;  0.8964882418; 0.9372177947; 0.8915710971; 0.8983761280
1.441500000;  0.8964768334; 0.9372050906; 0.8915593860; 0.8983639924
1.442000000;  0.8964654942; 0.9371923866; 0.8915476790; 0.8983518579
1.442500000;  0.8964542245; 0.9371796828; 0.8915359762; 0.8983397246
1.443000000;  0.8964430240; 0.9371669792; 0.8915242776; 0.8983275925
1.443500000;  0.8964318924; 0.9371542757; 0.8915125831; 0.8983154614
1.444000000;  0.8964208289; 0.9371415725; 0.8915008928; 0.8983033315
1.444500000;  0.8964098326; 0.9371288693; 0.8914892066; 0.8982912027
1.445000000;  0.8963989022; 0.9371161664; 0.8914775246; 0.8982790751
1.445500000;  0.8963880362; 0.9371034637; 0.8914658467; 0.8982669486
1.446000000;  0.8963772330; 0.9370907611; 0.8914541729; 0.8982548232
1.446500000;  0.8963664906; 0.9370780587; 0.8914425032; 0.8982426989
1.447000000;  0.8963558070; 0.9370653564; 0.8914308377; 0.8982305758
1.447500000;  0.8963451797; 0.9370526543; 0.8914191763; 0.8982184538
1.448000000;  0.8963346064; 0.9370399524; 0.8914075190; 0.8982063329
1.448500000;  0.8963240846; 0.9370272507; 0.8913958657; 0.8981942131
1.449000000;  0.8963136116; 0.9370145492; 0.8913842166; 0.8981820945
1.449500000;  0.8963031846; 0.9370018478; 0.8913725716; 0.8981699770
1.450000000;  0.8962928006; 0.9369891466; 0.8913609307; 0.8981578606
1.450500000;  0.8962824567; 0.9369764455; 0.8913492938; 0.8981457453
1.451000000;  0.8962721500; 0.9369637447; 0.8913376611; 0.8981336312
1.451500000;  0.8962618773; 0.9369510440; 0.8913260324; 0.8981215181
1.452000000;  0.8962516354; 0.9369383434; 0.8913144078; 0.8981094062
1.452500000;  0.8962414210; 0.9369256431; 0.8913027873; 0.8980972954
1.453000000;  0.8962312308; 0.9369129429; 0.8912911708; 0.8980851857
1.453500000;  0.8962210616; 0.9369002429; 0.8912795584; 0.8980730772
1.454000000;  0.8962109098; 0.9368875431; 0.8912679500; 0.8980609697
1.454500000;  0.8962007720; 0.9368748434; 0.8912563457; 0.8980488634
1.455000000;  0.8961906447; 0.9368621439; 0.8912447454; 0.8980367581
1.455500000;  0.8961805246; 0.9368494446; 0.8912331492; 0.8980246540
1.456000000;  0.8961704084; 0.9368367455; 0.8912215570; 0.8980125510
1.456500000;  0.8961602925; 0.9368240465; 0.8912099688; 0.8980004491
1.457000000;  0.8961501738; 0.9368113477; 0.8911983846; 0.8979883483
1.457500000;  0.8961400492; 0.9367986491; 0.8911868045; 0.8979762486
1.458000000;  0.8961299158; 0.9367859506; 0.8911752284; 0.8979641500
1.458500000;  0.8961197708; 0.9367732523; 0.8911636563; 0.8979520526
1.459000000;  0.8961096114; 0.9367605542; 0.8911520882; 0.8979399562
1.459500000;  0.8960994351; 0.9367478563; 0.8911405241; 0.8979278609
1.460000000;  0.8960892397; 0.9367351585; 0.8911289640; 0.8979157668
1.460500000;  0.8960790233; 0.9367224609; 0.8911174079; 0.8979036737
1.461000000;  0.8960687839; 0.9367097635; 0.8911058558; 0.8978915817
1.461500000;  0.8960585197; 0.9366970662; 0.8910943077; 0.8978794909
1.462000000;  0.8960482292; 0.9366843692; 0.8910827636; 0.8978674011
1.462500000;  0.8960379114; 0.9366716723; 0.8910712234; 0.8978553124
1.463000000;  0.8960275653; 0.9366589755; 0.8910596872; 0.8978432249
1.463500000;  0.8960171902; 0.9366462790; 0.8910481550; 0.8978311384
1.464000000;  0.8960067852; 0.9366335826; 0.8910366267; 0.8978190530
1.464500000;  0.8959963502; 0.9366208864; 0.8910251024; 0.8978069688
1.465000000;  0.8959858850; 0.9366081903; 0.8910135820; 0.8977948856
1.465500000;  0.8959753896; 0.9365954944; 0.8910020656; 0.8977828035
1.466000000;  0.8959648639; 0.9365827987; 0.8909905532; 0.8977707225
