# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.000000000;  0.000000000
141.6666667;  0.000000000;  0.000000000
145.0000000;  0.000000000;  0.000000000
148.3333333;  0.000000000;  0.000000000
151.6666667;  0.000000000;  0.000000000
155.0000000;  0.000000000;  0.000000000
158.3333333;  0.000000000;  0.000000000
161.6666667;  0.000000000;  0.000000000
165.0000000;  0.000000000;  0.000000000
168.3333333;  0.000000000;  0.000000000
171.6666667;  0.000000000;  0.000000000
175.0000000;  0.000000000;  0.000000000
178.3333333;  0.000000000;  0.000000000
181.6666667;  0.000000000;  0.000000000
185.0000000;  0.000000000;  0.000000000
188.3333333;  0.000000000;  0.000000000
191.6666667;  0.000000000;  0.000000000
195.0000000;  0.000000000;  0.000000000
198.3333333;  0.000000000;  0.000000000
201.6666667;  0.000000000;  0.000000000
205.0000000;  0.000000000;  0.000000000
208.3333333;  0.000000000;  0.000000000
211.6666667;  0.000000000;  0.000000000
215.0000000;  0.000000000;  0.000000000
218.3333333;  0.000000000;  0.000000000
221.6666667;  0.004833418164;  0.0003259149289
225.0000000;  0.006151024348;  0.0007532429238
228.3333333;  0.05586751125;  0.004750357442
231.6666667;  0.2124956045;  0.02040075820
235.0000000;  0.4864447544;  0.05726603083
238.3333333;  0.9813867056;  0.1337653805
241.6666667;  1.872862614;  0.2838676397
245.0000000;  3.135763563;  0.5421668610
248.3333333;  4.352105682;  0.9104797430
251.6666667;  5.365106152;  1.376792162
255.0000000;  6.095002494;  1.920669987
258.3333333;  5.810863580;  2.452837698
261.6666667;  4.876756568;  2.911058366
265.0000000;  3.622396578;  3.260145938
268.3333333;  2.279606752;  3.485391214
271.6666667;  1.454492094;  3.632700607
275.0000000;  0.8733570847;  3.723337179
278.3333333;  0.5703637046;  3.783972885
281.6666667;  0.4658574069;  3.834691793
285.0000000;  0.4136373173;  3.880797566
288.3333333;  0.3647860974;  3.922414850
291.6666667;  0.4192856739;  3.971362210
295.0000000;  0.4413401150;  4.024068564
298.3333333;  0.4191447914;  4.075261858
301.6666667;  0.3803271488;  4.122757888
305.0000000;  0.3875280309;  4.172228587
308.3333333;  0.4562224426;  4.231748563
311.6666667;  0.4952807564;  4.297768822
315.0000000;  0.5030232314;  4.366263074
318.3333333;  0.5077184249;  4.436867519
321.6666667;  0.5293625782;  4.512031567
325.0000000;  0.5252045832;  4.588158784
328.3333333;  0.4774993986;  4.658798254
331.6666667;  0.5109813691;  4.735933575
335.0000000;  0.5801220030;  4.825275119
338.3333333;  0.5603121197;  4.913291605
341.6666667;  0.6562269356;  5.018416031
345.0000000;  0.6807324647;  5.129604296
348.3333333;  0.6963271591;  5.245548125
351.6666667;  0.6817774986;  5.361252357
355.0000000;  0.6579962360;  5.475047631
358.3333333;  0.7400421577;  5.605446832
361.6666667;  0.7020029834;  5.731455354
365.0000000;  0.6637190162;  5.852798131
368.3333333;  0.6109024610;  5.966534093
371.6666667;  0.6011229951;  6.080484111
375.0000000;  0.6645164270;  6.208720723
378.3333333;  0.6365924716;  6.333762299
381.6666667;  0.7013572316;  6.473963400
385.0000000;  0.6919743663;  6.614715570
388.3333333;  0.7224241292;  6.764216939
391.6666667;  0.7009743543;  6.911780421
395.0000000;  0.6621786806;  7.053559738
398.3333333;  0.6986693955;  7.205687500
