# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.000000000;  0.000000000
141.6666667;  0.000000000;  0.000000000
145.0000000;  0.000000000;  0.000000000
148.3333333;  0.000000000;  0.000000000
151.6666667;  0.000000000;  0.000000000
155.0000000;  0.000000000;  0.000000000
158.3333333;  0.000000000;  0.000000000
161.6666667;  0.000000000;  0.000000000
165.0000000;  0.000000000;  0.000000000
168.3333333;  0.000000000;  0.000000000
171.6666667;  0.000000000;  0.000000000
175.0000000;  0.000000000;  0.000000000
178.3333333;  0.000000000;  0.000000000
181.6666667;  0.000000000;  0.000000000
185.0000000;  0.000000000;  0.000000000
188.3333333;  0.000000000;  0.000000000
191.6666667;  0.000000000;  0.000000000
195.0000000;  0.000000000;  0.000000000
198.3333333;  0.000000000;  0.000000000
201.6666667;  0.000000000;  0.000000000
205.0000000;  0.000000000;  0.000000000
208.3333333;  0.000000000;  0.000000000
211.6666667;  0.000000000;  0.000000000
215.0000000;  0.000000000;  0.000000000
218.3333333;  0.0001838964091;  1.202991876E-05
221.6666667;  0.002790334732;  0.0002001807709
225.0000000;  0.01568684515;  0.001289987558
228.3333333;  0.05799661344;  0.005439431491
231.6666667;  0.1686504745;  0.01786061790
235.0000000;  0.3707031182;  0.04595439709
238.3333333;  0.6366537985;  0.09558172677
241.6666667;  0.8993686331;  0.1676624350
245.0000000;  1.062091315;  0.2551490564
248.3333333;  1.089832062;  0.3473800859
251.6666667;  1.040026068;  0.4377747692
255.0000000;  0.9314994058;  0.5208956328
258.3333333;  0.8273325767;  0.5966640065
261.6666667;  0.7169931090;  0.6640327704
265.0000000;  0.6029612649;  0.7221396838
268.3333333;  0.4948825969;  0.7710384541
271.6666667;  0.4166635223;  0.8132376870
275.0000000;  0.3529667447;  0.8498684036
278.3333333;  0.2962671464;  0.8813647404
281.6666667;  0.2614742491;  0.9098320104
285.0000000;  0.2326703333;  0.9357664341
288.3333333;  0.2120909401;  0.9599632143
291.6666667;  0.2066820167;  0.9840912482
295.0000000;  0.2128874091;  1.009514995
298.3333333;  0.2227058630;  1.036715730
301.6666667;  0.2301773280;  1.065460745
305.0000000;  0.2455753391;  1.096810177
308.3333333;  0.2667708219;  1.131613798
311.6666667;  0.2909819413;  1.170401299
315.0000000;  0.3253536145;  1.214703134
318.3333333;  0.3501839950;  1.263400494
321.6666667;  0.3774533425;  1.316994991
325.0000000;  0.4023808501;  1.375319186
328.3333333;  0.4320788595;  1.439239311
331.6666667;  0.4749027076;  1.510928369
335.0000000;  0.5131656780;  1.589958321
338.3333333;  0.5452532645;  1.675609291
341.6666667;  0.5729224059;  1.767388728
345.0000000;  0.6050795274;  1.866220128
348.3333333;  0.6221279216;  1.969809214
351.6666667;  0.6457858050;  2.079405307
355.0000000;  0.6653321209;  2.194469265
358.3333333;  0.6890088647;  2.315876140
361.6666667;  0.7125451801;  2.443776971
365.0000000;  0.7270893370;  2.576705269
368.3333333;  0.7397883552;  2.714436814
371.6666667;  0.7515294001;  2.856898156
375.0000000;  0.7559638452;  3.002782048
378.3333333;  0.7539015645;  3.150865860
381.6666667;  0.7680618009;  3.304401184
385.0000000;  0.7797500881;  3.463007517
388.3333333;  0.7834587361;  3.625139635
391.6666667;  0.7819538966;  3.789750278
395.0000000;  0.7750148058;  3.955688980
398.3333333;  0.7722237930;  4.123832422
