# Tau / ps;  Vector autocorrelation;  1-exp fit;  2-exp fit;  3-exp fit
0.06000000000;  0.9851695710; 0.9722665353; 0.9688581939; 0.9061567905
0.06050000000;  0.9850788823; 0.9720358064; 0.9686008768; 0.9054026557
0.06100000000;  0.9849862204; 0.9718051322; 0.9683436281; 0.9046491832
0.06150000000;  0.9848914815; 0.9715745128; 0.9680864477; 0.9038963725
0.06200000000;  0.9847945714; 0.9713439481; 0.9678293356; 0.9031442231
0.06250000000;  0.9846954138; 0.9711134382; 0.9675722918; 0.9023927343
0.06300000000;  0.9845939405; 0.9708829829; 0.9673153162; 0.9016419055
0.06350000000;  0.9844900772; 0.9706525824; 0.9670584089; 0.9008917362
0.06400000000;  0.9843837487; 0.9704222365; 0.9668015698; 0.9001422257
0.06450000000;  0.9842748943; 0.9701919453; 0.9665447990; 0.8993933735
0.06500000000;  0.9841634675; 0.9699617087; 0.9662880963; 0.8986451790
0.06550000000;  0.9840494209; 0.9697315267; 0.9660314618; 0.8978976415
0.06600000000;  0.9839327002; 0.9695013994; 0.9657748955; 0.8971507606
0.06650000000;  0.9838132565; 0.9692713267; 0.9655183973; 0.8964045355
0.06700000000;  0.9836910572; 0.9690413086; 0.9652619673; 0.8956589658
0.06750000000;  0.9835660769; 0.9688113451; 0.9650056053; 0.8949140508
0.06800000000;  0.9834382833; 0.9685814362; 0.9647493114; 0.8941697899
0.06850000000;  0.9833076401; 0.9683515818; 0.9644930856; 0.8934261826
0.06900000000;  0.9831741217; 0.9681217819; 0.9642369279; 0.8926832283
0.06950000000;  0.9830377142; 0.9678920366; 0.9639808382; 0.8919409263
0.07000000000;  0.9828984025; 0.9676623459; 0.9637248165; 0.8911992762
0.07050000000;  0.9827561642; 0.9674327096; 0.9634688627; 0.8904582772
0.07100000000;  0.9826109803; 0.9672031278; 0.9632129770; 0.8897179290
0.07150000000;  0.9824628451; 0.9669736005; 0.9629571592; 0.8889782307
0.07200000000;  0.9823117607; 0.9667441277; 0.9627014094; 0.8882391819
0.07250000000;  0.9821577260; 0.9665147093; 0.9624457275; 0.8875007820
0.07300000000;  0.9820007376; 0.9662853454; 0.9621901135; 0.8867630305
0.07350000000;  0.9818408002; 0.9660560359; 0.9619345674; 0.8860259266
0.07400000000;  0.9816779283; 0.9658267808; 0.9616790892; 0.8852894699
0.07450000000;  0.9815121367; 0.9655975801; 0.9614236788; 0.8845536597
0.07500000000;  0.9813434358; 0.9653684338; 0.9611683362; 0.8838184956
0.07550000000;  0.9811718403; 0.9651393419; 0.9609130615; 0.8830839768
0.07600000000;  0.9809973769; 0.9649103044; 0.9606578545; 0.8823501029
0.07650000000;  0.9808200810; 0.9646813212; 0.9604027154; 0.8816168732
0.07700000000;  0.9806399878; 0.9644523923; 0.9601476440; 0.8808842872
0.07750000000;  0.9804571338; 0.9642235178; 0.9598926403; 0.8801523443
0.07800000000;  0.9802715653; 0.9639946976; 0.9596377044; 0.8794210439
0.07850000000;  0.9800833392; 0.9637659317; 0.9593828362; 0.8786903854
0.07900000000;  0.9798925140; 0.9635372201; 0.9591280357; 0.8779603683
0.07950000000;  0.9796991447; 0.9633085628; 0.9588733028; 0.8772309920
0.08000000000;  0.9795032903; 0.9630799597; 0.9586186376; 0.8765022559
